日付,できごと,関連ポケモン,関連リンク,プロパティ
1889/9/23,任天堂設立日,,https://www.nintendo.co.jp,
1959/12/6,岩田聡の誕生日,,https://w.wiki/4TBx,
1961/6/17,山寺宏一の誕生日,ミュウ,https://w.wiki/3V6L,
1965/8/18,大谷育江の誕生日,ピカチュウ,https://w.wiki/4LCy,
1965/8/28,田尻智の誕生日,ニョロモ,https://w.wiki/6PFp,
1966/1/27,杉森建の誕生日,フシギバナ,https://w.wiki/3KAR,
1967/10/1,モリモトの誕生日,ミュウ,https://w.wiki/6PFv,
1968/1/12,増田順一の誕生日,コダック,https://w.wiki/4EqJ,
1968/11/30,松本梨香の誕生日,カラカラ,https://w.wiki/5BrN,
1970/8/3,桜井政博の誕生日,ダークライ,https://w.wiki/45WW,
1989/4/21,ゲームボーイ発売日,,https://www.nintendo.co.jp/n02/dmg/index.html,
1989/4/26,ゲームフリーク設立日,,https://www.gamefreak.co.jp,
1995/11/8,クリーチャーズ設立日,,https://www.creatures.co.jp,
1996/2/6,ミュウツーの誕生日,ミュウツー,https://wiki.ポケモン.com/wiki/フジ博士,記念日
1996/2/27,赤緑発売日,フシギバナ,https://www.nintendo.co.jp/n02/dmg/apajapbj/index.html,
1996/2/28,ギエピー連載開始日,ピッピ,https://www.corocoro.jp/episode/3269754496804802596,
1996/4/1,アニポケはじまりの日,ピカチュウ,https://www.tv-tokyo.co.jp/anime/pocketmonster/,
1996/6/23,64発売日,,https://www.nintendo.co.jp/n01/n64/hardware/index.html,
1996/9/24,なみのりピカチュウの誕生日,ピカチュウ,https://www.youtube.com/watch?v=kyvwBQ_S_V4,記念日
1996/10/15,青発売日,カメックス,https://www.nintendo.co.jp/n02/dmg/apej/index.html,
1996/10/20,ポケカはじまりの日,リザードン,https://www.pokemon-card.com,
1997/4/3,ポケスペ連載開始日,,http://www.corocoro.tv/pokesp/,
1997/6/3,ポケモン4コマ大百科連載開始日,,https://www.pokemon.jp/look/comic/,
1997/12/16,ポケモンショック勃発日,ポリゴン,https://w.wiki/4MWm,
1998/4/26,ポケセン(店舗)はじまりの日,ヒトカゲ,https://www.pokemon.co.jp/shop/,
1998/6/1,ポケモンパン発売開始月,,https://www.daiichipan.co.jp/?page_id=350,
1998/7/2,ポケモンジェット就航日,,https://www.ana.co.jp/pr/980406-J/980603.html,
1998/7/18,ミュウツーの逆襲上映開始日,ミュウツー,https://www.pokemon-movie.jp/history/history2019/,
1998/8/11,スタジアム発売日,,https://www.nintendo.co.jp/n01/n64/software/nus_p_npsj/index.html,
1998/9/12,ピカチュウ発売日,ピカチュウ,https://www.nintendo.co.jp/n02/dmg/apsj/index.html,
1998/10/21,GBC発売日,,https://www.nintendo.co.jp/n02/dmg/hardware/color/index.html,
1998/12/12,げんきでちゅう発売日,ピカチュウ,https://www.nintendo.co.jp/n01/n64/software/nus_p_npgj/,
1998/12/18,ポケカGB発売日,,https://www.nintendo.co.jp/n02/dmg/acxj/index.html,
1999/1/21,スマブラ初代発売日,プリン,https://www.nintendo.co.jp/n01/n64/software/nus_p_nalj/,
1999/3/21,ポケモンスナップ発売日,,https://www.nintendo.co.jp/n01/n64/software/nus_p_npfj/,
1999/4/14,ポケモンピンボール発売日,,https://www.nintendo.co.jp/n02/dmg/vphj/,
1999/4/30,スタジアム2発売日,,https://www.nintendo.co.jp/n01/n64/software/nus_p_cp2j/index.html,
1999/7/17,ルギア爆誕上映開始日,ルギア,https://www.pokemon-movie.jp/history/history1999/,
1999/11/10,Mewtwo Strikes Back上映開始日,ミュウツー,https://www.pokemon.com/us/pokemon-episodes/pokemon-movies/pokemon-the-first-movie-1999,
1999/11/21,金銀発売日,ホウオウ,https://www.nintendo.co.jp/n02/dmg/kingin/index.html,
2000/7/17,結晶塔の帝王上映開始日,エンテイ,https://www.pokemon-movie.jp/history/history2000/,
2000/9/21,ポケモンでパネポン発売日,,https://www.nintendo.co.jp/n02/dmg/bpnj/index.html,
2000/12/14,クリスタル発売日,スイクン,https://www.nintendo.co.jp/n02/dmg/bxpj/index.html,
2000/12/14,スタジアム金銀発売日,ホウオウ,https://www.nintendo.co.jp/n01/n64/software/nus_p_np3j/index.html,
2001/3/21,GBA発売日,,https://www.nintendo.co.jp/n08/,
2001/3/28,ポケカGB2発売日,,https://www.pokemon.co.jp/game/other/gbc-gr/,
2001/7/7,時を超えた遭遇上映開始日,セレビィ,https://www.pokemon-movie.jp/history/history2001/,
2001/11/14,ポケモンミニ発売日,,https://www.nintendo.co.jp/nom/0212/07/mini/index.html,
2001/11/21,スマブラDX発売日,ピチュー,https://www.nintendo.co.jp/ngc/galj/,
2002/7/13,水の都の御神上映開始日,ラティアス,https://www.pokemon-movie.jp/history/history2002/,
2002/11/15,オフィシャルサイト開設日,ルクシオ,https://www.pokemon.co.jp,
2002/11/21,ルビサファ発売日,ペリッパー,https://www.nintendo.co.jp/n08/axvp/,
2002/12/23,ポケ徹開設日,パチリス,https://yakkun.com,
2003/7/19,七夜の願い星上映開始日,ジラーチ,https://www.pokemon-movie.jp/history/history2003/,
2003/11/21,コロシアム発売日,,https://www.nintendo.co.jp/ngc/qc6a/index.html,
2003/12/3,きのみ問題発覚日,,https://www.nintendo.co.jp/n08/axvp/kinomi/,
2004/1/29,FRLG発売日,リザードン,https://www.nintendo.co.jp/n08/bprj/,
2004/3/1,ポケ書開設日,クルマユ,http://www.pokesho.com,
2004/7/17,裂空の訪問者上映開始日,デオキシス,https://www.pokemon-movie.jp/history/history2004/,
2004/9/16,エメラルド発売日,レックウザ,https://www.nintendo.co.jp/n08/bpej/index.html,
2004/10/3,ポケモンサンデー放送開始日,オクタン,https://web.archive.org/web/20090415052327/http://www.tv-tokyo.co.jp/contents/pokemon_sunday/index.html,
2004/11/26,本家ポケモンだいすきクラブ開設日,コイル,https://www.pokemon.jp,
2004/12/2,DS発売日,ダストダス,https://www.nintendo.co.jp/ds/,
