ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
1,フシギダネ,,,,くさ,,しんりょく,,ようりょくそ,45,49,49,65,65,45,318,45 49 49 65 65 45 合計318,RGBP,カントー,1,たねポケモン,進化前,パートナーポケモン,,,Bulbasaur,妙蛙種子,bulb(球根、電球) + dinosaur(恐竜)
2,フシギソウ,,,,くさ,どく,しんりょく,,ようりょくそ,60,62,63,80,80,60,405,60 62 63 80 80 60 合計405,RGBP,カントー,1,たねポケモン,中間進化,パートナーポケモン,,,Ivysaur,妙蛙草,ivy(ツタ) + dinosaur(恐竜)
3,フシギバナ,バナ,,,くさ,どく,しんりょく,,ようりょくそ,80,82,83,100,100,80,525,80 82 83 100 100 80 合計525,RGBP,カントー,1,たねポケモン,最終進化,パートナーポケモン,,,Venusaur,妙蛙花,venus flytrap(ハエジコク) + dinosaur(恐竜)
3.1,メガフシギバナ,メガバナ,,,くさ,どく,あついしぼう,,,80,100,123,122,120,80,625,80 100 123 122 120 80 合計625,XY,カロス,6,たねポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
4,ヒトカゲ,,,,ほのお,,もうか,,サンパワー,39,52,43,60,50,65,309,39 52 43 60 50 65 合計309,RGBP,カントー,1,とかげポケモン,進化前,パートナーポケモン,,,Charmander,小火龍,char(炭にする) + salamander(サンショウウオ)
5,リザード,,,,ほのお,,もうか,,サンパワー,58,64,58,80,65,80,405,58 64 58 80 65 80 合計405,RGBP,カントー,1,かえんポケモン,中間進化,パートナーポケモン,,,Charmeleon,火恐龍,char(炭にする) + chameleon(カメレオン)
6,リザードン,リザ,,,ほのお,ひこう,もうか,,サンパワー,78,84,78,109,85,100,534,78 84 78 109 85 100 合計534,RGBP,カントー,1,かえんポケモン,最終進化,パートナーポケモン,,,Charizard,噴火龍,char(炭にする) + lizard(トカゲ)
6.1,メガリザードンX,メガリザードン,リザX,メガリザX,ほのお,ドラゴン,かたいツメ,,,78,130,111,130,85,100,634,78 130 111 130 85 100 合計634,XY,カロス,6,かえんポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
6.2,メガリザードンY,リザY,メガリザY,リザワイ,ほのお,ひこう,ひでり,,,78,104,78,159,115,100,634,78 104 78 159 115 100 合計634,XY,カロス,6,かえんポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
7,ゼニガメ,,,,みず,,げきりゅう,,あめうけざら,44,48,65,50,64,43,314,44 48 65 50 64 43 合計314,RGBP,カントー,1,かめのこポケモン,進化前,パートナーポケモン,,,Squirtle,傑尼龜,squirrel(リス) + turtle(カメ)
