ポケモン川柳,登場ポケモン,出典,登場作品,チェック
コイキング ぴちぴちはねる げんきなこ,コイキング,オーキド博士のポケモン講座,EP061,
ライチュウを いっかにいっぴき じかはつでん,ライチュウ,オーキド博士のポケモン講座,EP062,
ヒトカゲの ほのおにうかぶ ひとのかげ,ヒトカゲ,オーキド博士のポケモン講座,EP063,
ベトベトン なかよくなったら くさくない,ベトベター,オーキド博士のポケモン講座,EP064,
とおりなは ばくだんボールだ マルマイン,マルマイン,オーキド博士のポケモン講座,EP065,
みてみたい フォークをつかう フーディンを,フーディン,オーキド博士のポケモン講座,EP066,True
オニドリル つついちゃいやよ オニドリル,オニドリル,オーキド博士のポケモン講座,EP067,
あいうえお いちばんさいごは ワンリキー,ワンリキー,オーキド博士のポケモン講座,EP068,
コンパンは よるのさんぽで こんばんわ,コンパン,オーキド博士のポケモン講座,EP069,
みちばたで ひるねざんまい イシツブテ,イシツブテ,オーキド博士のポケモン講座,EP070,
トサキント きれいなかおに ツノがある,トサキント,オーキド博士のポケモン講座,EP071,
さむいふゆ ギャロップいれば ぽっかぽか,ギャロップ,オーキド博士のポケモン講座,EP072,
たべてねて またたべてねて ああカビゴン,カビゴン,オーキド博士のポケモン講座,EP073,
ラッキーに あったらいちにち ちょうラッキー,ラッキー,オーキド博士のポケモン講座,EP074,
リーグせん かったらほめてね ポケモンを,,オーキド博士のポケモン講座,EP075,
フィールドで ポケモンえらび なやんじゃう,,オーキド博士のポケモン講座,EP076,
みてみたい ジュンサージョーイの こどもたち,,オーキド博士のポケモン講座,EP077,True
いまだけの グッズもいろいろ みやげやさん,,オーキド博士のポケモン講座,EP078,
トレーナー せんりゃくかんがえ ひがくれる,,オーキド博士のポケモン講座,EP079,
つわものの たたかいすんで たまらんなあ,,オーキド博士のポケモン講座,EP080,
ナッシーの こかげでのんびり おひるねよ,ナッシー,オーキド博士のポケモン講座,EP081,
ベロリンガ のびてちぢんで ながいした,ベロリンガ,オーキド博士のポケモン講座,EP082,
きをつけよう エレブーかみなり かじおやじ,エレブー,オーキド博士のポケモン講座,EP083,
さむいのよ ジュゴンのおうちは こーりごり,ジュゴン,オーキド博士のポケモン講座,EP084,
けっとばせ キックいっぱつ サワムラー,サワムラー,オーキド博士のポケモン講座,EP085,
ぶっとばせ ぱんちいっぱつ エビワラー,エビワラー,オーキド博士のポケモン講座,EP086,
キャタピーが さいしょのゲットだ サトシくん,キャタピー,オーキド博士のポケモン講座,EP087,
イーブイの しんかはみっつ さてどれに,イーブイ,オーキド博士のポケモン講座,EP088,
